Stad;Land;Latitude;Longtitude;Maand;Zonsopgang (gem);Zonsondergang (gem)
Amsterdam;Nederland;52.370.216;4.895.168;januari;0.36;0.71
Amsterdam;Nederland;52.370.216;4.895.168;februari;0.33;0.74
Amsterdam;Nederland;52.370.216;4.895.168;maart;0.3;0.79
Amsterdam;Nederland;52.370.216;4.895.168;april;0.28;0.86
Amsterdam;Nederland;52.370.216;4.895.168;mei;0.24;0.9
Amsterdam;Nederland;52.370.216;4.895.168;juni;0.22;0.92
Amsterdam;Nederland;52.370.216;4.895.168;juli;0.24;0.91
Amsterdam;Nederland;52.370.216;4.895.168;augustus;0.27;0.88
Amsterdam;Nederland;52.370.216;4.895.168;september;0.3;0.83
Amsterdam;Nederland;52.370.216;4.895.168;oktober;0.33;0.77
Amsterdam;Nederland;52.370.216;4.895.168;november;0.34;0.7
Amsterdam;Nederland;52.370.216;4.895.168;december;0.36;0.69
Andorra la Vella;Andorra;42.506.317;1.521.835;januari;0.35;0.74
Andorra la Vella;Andorra;42.506.317;1.521.835;februari;0.33;0.77
Andorra la Vella;Andorra;42.506.317;1.521.835;maart;0.3;0.8
Andorra la Vella;Andorra;42.506.317;1.521.835;april;0.3;0.86
Andorra la Vella;Andorra;42.506.317;1.521.835;mei;0.27;0.88
Andorra la Vella;Andorra;42.506.317;1.521.835;juni;0.26;0.9
Andorra la Vella;Andorra;42.506.317;1.521.835;juli;0.27;0.89
Andorra la Vella;Andorra;42.506.317;1.521.835;augustus;0.29;0.87
Andorra la Vella;Andorra;42.506.317;1.521.835;september;0.32;0.83
Andorra la Vella;Andorra;42.506.317;1.521.835;oktober;0.33;0.79
Andorra la Vella;Andorra;42.506.317;1.521.835;november;0.32;0.73
Andorra la Vella;Andorra;42.506.317;1.521.835;december;0.34;0.72
Ankara;Turkije;39.920.770;32.854.110;januari;0.3;0.7
Ankara;Turkije;39.920.770;32.854.110;februari;0.28;0.72
Ankara;Turkije;39.920.770;32.854.110;maart;0.26;0.76
Ankara;Turkije;39.920.770;32.854.110;april;0.26;0.81
Ankara;Turkije;39.920.770;32.854.110;mei;0.23;0.83
Ankara;Turkije;39.920.770;32.854.110;juni;0.22;0.85
