Stad;Land;Latitude;Longtitude;Maand;Zonsopgang (gem);Zonsondergang (gem)
Amsterdam;Nederland;52.370216;4.895168;januari;0,36;0,71
Amsterdam;Nederland;52.370216;4.895168;februari;0,33;0,74
Amsterdam;Nederland;52.370216;4.895168;maart;0,30;0,79
Amsterdam;Nederland;52.370216;4.895168;april;0,28;0,86
Amsterdam;Nederland;52.370216;4.895168;mei;0,24;0,90
Amsterdam;Nederland;52.370216;4.895168;juni;0,22;0,92
Amsterdam;Nederland;52.370216;4.895168;juli;0,24;0,91
Amsterdam;Nederland;52.370216;4.895168;augustus;0,27;0,88
Amsterdam;Nederland;52.370216;4.895168;september;0,30;0,83
Amsterdam;Nederland;52.370216;4.895168;oktober;0,33;0,77
Amsterdam;Nederland;52.370216;4.895168;november;0,34;0,70
Amsterdam;Nederland;52.370216;4.895168;december;0,36;0,69
Boekarest;Roemenië;44.432500;26.103889;januari;0,32;0,71
Boekarest;Roemenië;44.432500;26.103889;februari;0,30;0,74
Boekarest;Roemenië;44.432500;26.103889;maart;0,28;0,78
Boekarest;Roemenië;44.432500;26.103889;april;0,27;0,83
Boekarest;Roemenië;44.432500;26.103889;mei;0,24;0,86
Boekarest;Roemenië;44.432500;26.103889;juni;0,23;0,88
Boekarest;Roemenië;44.432500;26.103889;juli;0,24;0,87
Boekarest;Roemenië;44.432500;26.103889;augustus;0,26;0,85
Boekarest;Roemenië;44.432500;26.103889;september;0,29;0,81
Boekarest;Roemenië;44.432500;26.103889;oktober;0,31;0,77
Boekarest;Roemenië;44.432500;26.103889;november;0,30;0,70
Boekarest;Roemenië;44.432500;26.103889;december;0,32;0,69
Helsinki;Finland;60.173324;24.941025;januari;0,38;0,66
Helsinki;Finland;60.173324;24.941025;februari;0,33;0,71
Helsinki;Finland;60.173324;24.941025;maart;0,28;0,78
Helsinki;Finland;60.173324;24.941025;april;0,25;0,86
Helsinki;Finland;60.173324;24.941025;mei;0,19;0,91
Helsinki;Finland;60.173324;24.941025;juni;0,16;0,95
Helsinki;Finland;60.173324;24.941025;juli;0,18;0,93
Helsinki;Finland;60.173324;24.941025;augustus;0,23;0,88
Helsinki;Finland;60.173324;24.941025;september;0,28;0,82
